1/20/2015,,,,,
clan member name,clan war position ,attack 1 opponent position,attack 2 opponent position,attack 1 # stars,attack 2 # stars
Galactus,1,1,3,2,2
Incredible Hulk,2,2,6,2,2
Captain Marvel,3,3,10,0,2
Superman,4,8,12,2,2
Batman,5,5,4,1,2
Poison Ivy,6,4,5,0,1
Dr. Doom,7,7,4,1,0
Ironman,8,9,14,2,2
Hackeye,9,15,14,3,0
Black Widow,10,11,,0,
Thor,11,11,14,1,0
Loki,12,16,11,3,1
Red Hulk,13,13,19,2,2
Riddler,14,14,,0,
Joker,15,17,18,3,3
Wolverine,16,16,19,0,0
Storm,17,21,,,
Rogue,18,20,,0,
Professor X,19,19,22,1,2
Magneto,20,24,20,3,3
Captain America,21,21,23,2,1
Spiderman,22,22,23,1,0
Lex Luthor,23,23,,2,
Goblin,24,24,25,0,3
Dr. Octavius,25,25,,0,
